"","X1560850_at","X1557843_at","X229381_at","X1553622_a_at","X204273_at","X230800_at","X211734_s_at","X214156_at","X209945_s_at","X228618_at","X206201_s_at","X220225_at","X228554_at","X213712_at","X226814_at","X206702_at","X205009_at","X204623_at","X220581_at","X211248_s_at","X209560_s_at","dataY"
"GSM1116187_BC16_ARN0051_s1h1s1_U133p2.CEL.gz",5.8098206064761,3.83308784412624,5.42630837569563,9.42152864417114,3.62031519370633,6.40760682817956,4.60602431769665,3.1283531614637,7.45560689394766,5.08526599113515,3.59911325646285,4.61325153665411,7.16699626125728,5.77401878700271,5.90022148510749,5.16211799017009,8.83187716551935,8.2889557824444,4.88684225965888,5.68791880129248,3.68287485759323,1
"GSM1116188_BC16_ARN0053_s1h1s1_U133p2.CEL.gz",3.71503850935116,3.80883363797579,5.51253843236966,7.52803446013606,3.7253816050904,6.73233998688287,4.36794561311645,4.66794763156846,8.06644051474321,5.50237825659005,3.61805876311101,4.65386400493217,5.39104514298329,6.04702880608932,5.68561948517688,5.82928944269252,4.87293669332954,6.14466350729296,5.06335061865983,5.36597452391792,3.69694222843911,1
"GSM1116189_BC16_ARN0054_s1h1s1_U133p2.CEL.gz",3.1836703258217,6.37958134593885,7.95126431449924,5.77714322484917,3.95507823885841,6.3512050268233,4.48940862273298,4.1063282247551,8.37218325609389,4.64455100036399,3.1425217531274,4.73565712008607,11.8030494123555,7.03627502626748,5.4394221363776,5.0332508884475,13.8435894711855,11.4308656217449,5.54339430264554,5.43240909124468,3.87042291405667,1
"GSM1116190_BC16_ARN0057_s1h1s1_U133p2.CEL.gz",4.29492517435684,4.58685342191682,6.86053226322135,5.70935501891277,5.54182822019225,7.6954856555656,8.74893917211339,4.75211567156466,7.8353180773944,7.15375915678751,6.97716157748336,5.34819954441313,10.8454145559471,7.15460685222515,7.23291123892777,6.94534964470363,10.7413094594425,8.63381071896483,5.18453436446155,6.66801356254724,7.64131916153011,1
"GSM1116191_BC16_ARN0058_s1h1s1_U133p2.CEL.gz",4.23711370659052,4.2914045473195,7.20912284180176,9.06583806283818,3.29275605213282,6.70240130685877,4.3597593428864,3.16943561686876,7.42468098904569,4.92027088589482,2.97455822565257,4.84721689119753,10.4054788087276,6.53522784376554,6.06192670687572,5.33248796251668,12.2540390652807,10.2275812085179,5.14609167276969,5.9439483639721,3.97839817207897,1
"GSM1116192_BC16_ARN0059_s1h1s1_U133p2.CEL.gz",7.58023066028893,4.52255337347576,9.29722372957647,5.19281864412541,5.30394916079434,7.01419680323482,5.65364859213503,5.34911357811915,7.61901104149695,5.82103470044971,4.6514689748144,8.95508464929974,4.54733784645011,9.40935074718362,6.48127815307752,6.24498945281919,8.72039290533973,11.9870952176873,4.1487397750726,7.44361259827576,3.79278441630158,1
"GSM1116193_BC16_ARN0060_s1h1s1_U133p2.CEL.gz",6.02621146289966,3.60532856340603,5.82690999661266,3.35284496813812,4.29950246537024,6.2022542243778,6.33795998895013,3.51899291592301,8.51245524721958,5.11230832747245,3.33254938051646,4.2003102998911,4.6352363245087,4.46714513090902,5.85009746066701,5.53771465157295,9.89986242788602,10.2500542890838,4.4751872480023,5.79280449492568,3.75247862839368,1
"GSM1116194_BC16_ARN0064_s1h1s1_U133p2.CEL.gz",4.51189358645665,4.10477143390691,8.16605480207851,5.13768362384534,6.02766941893662,7.85453729973262,7.73082436241795,3.69642014205663,7.7004215959147,6.36618674503851,5.60173462701536,5.33033403295627,11.5032533738039,8.62979788229389,6.98763547798731,6.53009274548909,8.29235769531086,6.99865780035783,5.95310902406103,5.57279632113459,3.8329025488833,1
"GSM1116195_BC16_ARN0065_s1h1s1_U133p2.CEL.gz",6.78199173240303,7.25400707302985,7.29985819660695,8.78096851076432,5.69339690229839,7.24104481325903,7.96133370693718,4.71523618712872,7.67082040038048,6.61852887154926,6.56984286326734,4.27537700685639,10.3058887349931,4.9933953395391,7.29213211002667,6.3471479455932,8.4967270274364,7.3114822672513,5.47577494598823,5.81587154383168,4.81087851815067,1
"GSM1116196_BC16_ARN0066_s1h1s1_U133p2.CEL.gz",4.59805398480767,4.78120845752043,6.89009347436411,5.95064809127909,3.74533906925699,6.94552508845068,6.71459817845417,4.62577827434813,8.07866911349566,5.83337356563248,4.50996542882832,4.21036923793746,4.69632795368418,3.59568694132452,6.84650285362243,6.21926924917527,9.79141469329176,9.8485568360719,4.4427860338429,5.79803936976106,3.73616321529963,1
"GSM1116197_BC16_ARN0067_s1h1s1_U133p2.CEL.gz",7.75560531134728,4.63082402185745,7.96593747351552,3.28344011516464,3.52600732990729,6.37742795883892,3.6026918434185,3.71141918734182,8.08188747886847,5.18110950762244,2.86646424212382,5.44716794740788,4.3937483606276,5.98343688333397,6.01914514701405,5.50269371389694,11.7255209213173,11.621382456543,4.51587239965578,7.31039741268465,4.21057607505057,1
"GSM1116198_BC16_ARN0068_s1h1s1_U133p2.CEL.gz",5.19727216280842,4.19972677950839,6.54499516150935,8.21201577896216,3.53031401953746,7.18736666258273,3.70473109207642,5.06312663278561,7.47230791752176,5.86500508713537,3.00388868595158,4.25595204392541,6.93602735737739,5.73753360906751,5.61888199704319,5.45491665072109,10.4694587324153,11.6098686027528,4.56851465349243,7.28927005008805,3.82559106717674,1
"GSM1116199_BC16_ARN0071_s1h1s1_U133p2.CEL.gz",6.37715794776873,5.78881704373002,6.58260974072741,9.24936944941837,5.04827749422679,7.33737087437822,6.41515036627199,4.09806144987638,7.87473966311078,6.31991731830718,3.9532180861376,4.53297778869665,11.6928487155042,6.65770693975703,6.5347350763618,6.17023453873429,12.2749669701557,11.450534684945,5.25145368154447,7.16854400392964,3.95826943853136,1
